,Date,Time,Vis,VisScore,Home,Home_Score,Box Score,OT,Attendence,Venue,Notes
1207,"Mon, Apr 13, 2015",8:00p,New Orleans Pelicans,100,Minnesota Timberwolves,88,Box Score,,"13,009",Target Center,
1208,"Mon, Apr 13, 2015",8:00p,Portland Trail Blazers,90,Oklahoma City Thunder,101,Box Score,,"18,203",Chesapeake Energy Arena,
1209,"Mon, Apr 13, 2015",9:00p,Dallas Mavericks,92,Utah Jazz,109,Box Score,,"19,911",EnergySolutions Arena,
1210,"Mon, Apr 13, 2015",10:00p,Los Angeles Lakers,92,Sacramento Kings,102,Box Score,,"17,317",Sleep Train Arena,
1211,"Mon, Apr 13, 2015",10:30p,Memphis Grizzlies,107,Golden State Warriors,111,Box Score,,"19,596",Oracle Arena,
1212,"Mon, Apr 13, 2015",10:30p,Denver Nuggets,103,Los Angeles Clippers,110,Box Score,,"19,060",STAPLES Center,
1213,"Tue, Apr 14, 2015",7:30p,Toronto Raptors,93,Boston Celtics,95,Box Score,,"18,624",TD Garden,
1214,"Tue, Apr 14, 2015",8:00p,Washington Wizards,95,Indiana Pacers,99,Box Score,2OT,"18,165",Bankers Life Fieldhouse,
1215,"Tue, Apr 14, 2015",10:30p,Los Angeles Clippers,112,Phoenix Suns,101,Box Score,,"18,055",US Airways Center,
1216,"Wed, Apr 15, 2015",7:00p,Charlotte Hornets,87,Toronto Raptors,92,Box Score,,"19,800",Air Canada Centre,
1217,"Wed, Apr 15, 2015",8:00p,Orlando Magic,88,Brooklyn Nets,101,Box Score,,"17,098",Barclays Center,
1218,"Wed, Apr 15, 2015",8:00p,Atlanta Hawks,85,Chicago Bulls,91,Box Score,,"22,172",United Center,
1219,"Wed, Apr 15, 2015",8:00p,Washington Wizards,108,Cleveland Cavaliers,113,Box Score,OT,"20,562",Quicken Loans Arena,
1220,"Wed, Apr 15, 2015",8:00p,Portland Trail Blazers,98,Dallas Mavericks,114,Box Score,,"20,352",American Airlines Center,
1221,"Wed, Apr 15, 2015",8:00p,Utah Jazz,91,Houston Rockets,117,Box Score,,"18,320",Toyota Center,
1222,"Wed, Apr 15, 2015",8:00p,Boston Celtics,105,Milwaukee Bucks,100,Box Score,,"17,316",BMO Harris Bradley Center,
1223,"Wed, Apr 15, 2015",8:00p,Oklahoma City Thunder,138,Minnesota Timberwolves,113,Box Score,,"18,250",Target Center,
1224,"Wed, Apr 15, 2015",8:00p,San Antonio Spurs,103,New Orleans Pelicans,108,Box Score,,"18,524",Smoothie King Center,
1225,"Wed, Apr 15, 2015",8:00p,Detroit Pistons,112,New York Knicks,90,Box Score,,"19,812",Madison Square Garden (IV),
1226,"Wed, Apr 15, 2015",8:00p,Miami Heat,105,Philadelphia 76ers,101,Box Score,,"14,476",Wells Fargo Center,
1227,"Wed, Apr 15, 2015",9:30p,Indiana Pacers,83,Memphis Grizzlies,95,Box Score,,"17,109",FedEx Forum,
1228,"Wed, Apr 15, 2015",10:30p,Denver Nuggets,126,Golden State Warriors,133,Box Score,,"19,596",Oracle Arena,
1229,"Wed, Apr 15, 2015",10:30p,Sacramento Kings,122,Los Angeles Lakers,99,Box Score,,"18,997",STAPLES Center,
1230,"Sat, Apr 18, 2015",12:30p,Washington Wizards,93,Toronto Raptors,86,Box Score,OT,"19,800",Air Canada Centre,
1231,"Sat, Apr 18, 2015",3:30p,New Orleans Pelicans,99,Golden State Warriors,106,Box Score,,"19,596",Oracle Arena,
1232,"Sat, Apr 18, 2015",7:00p,Milwaukee Bucks,91,Chicago Bulls,103,Box Score,,"21,812",United Center,
1233,"Sat, Apr 18, 2015",9:30p,Dallas Mavericks,108,Houston Rockets,118,Box Score,,"18,231",Toyota Center,
1234,"Sun, Apr 19, 2015",3:00p,Boston Celtics,100,Cleveland Cavaliers,113,Box Score,,"20,562",Quicken Loans Arena,
